"STATION","NAME","DATE","TAVG"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-01","8.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-02","6.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-03","7.5"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-04","9.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-05","3.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-06","5.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-07","7.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-08","7.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-09","10.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-10","8.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-11","4.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-12","3.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-13","3.5"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-14","9.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-15","10.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-16","10.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-17","8.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-18","5.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-19","6.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-20","2.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-21","5.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-22","9.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-23","10.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-24","10.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-25","9.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-26","8.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-27","5.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-28","8.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-29","9.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-30","10.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-01-31","12.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-01","11.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-02","13.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-03","13.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-04","10.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-05","6.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-06","6.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-07","9.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-08","10.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-09","10.5"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-10","13.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-11","12.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-12","9.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-13","10.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-14","10.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-15","9.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-16","12.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-17","11.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-18","8.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-19","8.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-20","9.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-21","8.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-22","8.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-23","8.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-24","8.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-25","10.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-26","7.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-27","9.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-28","10.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-02-29","11.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-01","10.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-02","8.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-03","6.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-04","8.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-05","10.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-06","6.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-07","8.3"
