"STATION","NAME","DATE","TAVG"
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-01",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-02",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-03",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-04",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-05",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-06",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-07",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-08",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-09",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-10",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-11",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-12",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-13",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-14",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-15",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-16",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-17",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-18",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-19",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-20",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-21",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-22",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-23",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-24",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-25",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-26",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-27",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-28",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-29",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-30",
"GME00111445","BERLIN TEMPELHOF, GM","2020-01-31",
"GME00111445","BERLIN TEMPELHOF, GM","2020-02-01",
"GME00111445","BERLIN TEMPELHOF, GM","2020-02-02",
"GME00111445","BERLIN TEMPELHOF, GM","2020-02-03",
"GME00111445","BERLIN TEMPELHOF, GM","2020-02-04",
"GME00111445","BERLIN TEMPELHOF, GM","2020-02-05",
"GME00111445","BERLIN TEMPELHOF, GM","2020-02-06",
"GME00111445","BERLIN TEMPELHOF, GM","2020-02-07",
