"STATION","NAME","DATE","TAVG"
"SPE00120539","CALAMOCHA, SP","2020-01-01",
"SPE00120539","CALAMOCHA, SP","2020-01-02",
"SPE00120539","CALAMOCHA, SP","2020-01-03",
"SPE00120539","CALAMOCHA, SP","2020-01-04",
"SPE00120539","CALAMOCHA, SP","2020-01-05",
"SPE00120539","CALAMOCHA, SP","2020-01-06",
"SPE00120539","CALAMOCHA, SP","2020-01-07",
"SPE00120539","CALAMOCHA, SP","2020-01-08",
"SPE00120539","CALAMOCHA, SP","2020-01-09",
"SPE00120539","CALAMOCHA, SP","2020-01-10",
"SPE00120539","CALAMOCHA, SP","2020-01-11",
"SPE00120539","CALAMOCHA, SP","2020-01-12",
"SPE00120539","CALAMOCHA, SP","2020-01-13",
"SPE00120539","CALAMOCHA, SP","2020-01-14",
"SPE00120539","CALAMOCHA, SP","2020-01-15",
"SPE00120539","CALAMOCHA, SP","2020-01-16",
"SPE00120539","CALAMOCHA, SP","2020-01-17",
"SPE00120539","CALAMOCHA, SP","2020-01-18",
"SPE00120539","CALAMOCHA, SP","2020-01-19",
"SPE00120539","CALAMOCHA, SP","2020-01-20",
"SPE00120539","CALAMOCHA, SP","2020-01-21",
"SPE00120539","CALAMOCHA, SP","2020-01-22",
"SPE00120539","CALAMOCHA, SP","2020-01-23",
"SPE00120539","CALAMOCHA, SP","2020-01-24",
"SPE00120539","CALAMOCHA, SP","2020-01-25",
"SPE00120539","CALAMOCHA, SP","2020-01-26",
"SPE00120539","CALAMOCHA, SP","2020-01-27",
"SPE00120539","CALAMOCHA, SP","2020-01-28",
"SPE00120539","CALAMOCHA, SP","2020-01-29",
"SPE00120539","CALAMOCHA, SP","2020-01-30",
"SPE00120539","CALAMOCHA, SP","2020-01-31",
"SPE00120539","CALAMOCHA, SP","2020-02-01",
"SPE00120539","CALAMOCHA, SP","2020-02-02",
"SPE00120539","CALAMOCHA, SP","2020-02-03",
"SPE00120539","CALAMOCHA, SP","2020-02-04",
"SPE00120539","CALAMOCHA, SP","2020-02-05",
