"STATION","NAME","DATE","TAVG"
"UKM00003917","ALDERGROVE, UK","2020-01-01","6.1"
"UKM00003917","ALDERGROVE, UK","2020-01-02","8.5"
"UKM00003917","ALDERGROVE, UK","2020-01-03","5.3"
"UKM00003917","ALDERGROVE, UK","2020-01-04","6.7"
"UKM00003917","ALDERGROVE, UK","2020-01-05","9.0"
"UKM00003917","ALDERGROVE, UK","2020-01-06","7.5"
"UKM00003917","ALDERGROVE, UK","2020-01-07","10.1"
"UKM00003917","ALDERGROVE, UK","2020-01-08","4.9"
"UKM00003917","ALDERGROVE, UK","2020-01-09","2.4"
"UKM00003917","ALDERGROVE, UK","2020-01-10","4.4"
"UKM00003917","ALDERGROVE, UK","2020-01-11","9.2"
"UKM00003917","ALDERGROVE, UK","2020-01-12","4.8"
"UKM00003917","ALDERGROVE, UK","2020-01-13","5.7"
"UKM00003917","ALDERGROVE, UK","2020-01-14","3.3"
"UKM00003917","ALDERGROVE, UK","2020-01-15","4.6"
"UKM00003917","ALDERGROVE, UK","2020-01-16","7.6"
"UKM00003917","ALDERGROVE, UK","2020-01-17","3.0"
"UKM00003917","ALDERGROVE, UK","2020-01-18","1.5"
"UKM00003917","ALDERGROVE, UK","2020-01-19","1.8"
"UKM00003917","ALDERGROVE, UK","2020-01-20","4.8"
"UKM00003917","ALDERGROVE, UK","2020-01-21","7.4"
"UKM00003917","ALDERGROVE, UK","2020-01-22","8.3"
"UKM00003917","ALDERGROVE, UK","2020-01-23","6.6"
"UKM00003917","ALDERGROVE, UK","2020-01-24","6.4"
"UKM00003917","ALDERGROVE, UK","2020-01-25","6.6"
"UKM00003917","ALDERGROVE, UK","2020-01-26","5.6"
"UKM00003917","ALDERGROVE, UK","2020-01-27","2.9"
"UKM00003917","ALDERGROVE, UK","2020-01-28","2.1"
"UKM00003917","ALDERGROVE, UK","2020-01-29","5.1"
"UKM00003917","ALDERGROVE, UK","2020-01-30","7.9"
"UKM00003917","ALDERGROVE, UK","2020-01-31","10.3"
"UKM00003917","ALDERGROVE, UK","2020-02-01","7.0"
"UKM00003917","ALDERGROVE, UK","2020-02-02","6.7"
"UKM00003917","ALDERGROVE, UK","2020-02-03","4.8"
"UKM00003917","ALDERGROVE, UK","2020-02-04","5.1"
"UKM00003917","ALDERGROVE, UK","2020-02-05","3.8"
"UKM00003917","ALDERGROVE, UK","2020-02-06","4.8"
"UKM00003917","ALDERGROVE, UK","2020-02-07","6.5"
"UKM00003917","ALDERGROVE, UK","2020-02-08","6.1"
"UKM00003917","ALDERGROVE, UK","2020-02-09","7.4"
"UKM00003917","ALDERGROVE, UK","2020-02-10","2.6"
"UKM00003917","ALDERGROVE, UK","2020-02-11","2.2"
"UKM00003917","ALDERGROVE, UK","2020-02-12","2.4"
"UKM00003917","ALDERGROVE, UK","2020-02-13","4.5"
"UKM00003917","ALDERGROVE, UK","2020-02-14","7.0"
"UKM00003917","ALDERGROVE, UK","2020-02-15","7.3"
"UKM00003917","ALDERGROVE, UK","2020-02-16","5.1"
"UKM00003917","ALDERGROVE, UK","2020-02-17","4.7"
"UKM00003917","ALDERGROVE, UK","2020-02-18","3.7"
"UKM00003917","ALDERGROVE, UK","2020-02-19","5.6"
"UKM00003917","ALDERGROVE, UK","2020-02-20","5.1"
"UKM00003917","ALDERGROVE, UK","2020-02-21","8.2"
"UKM00003917","ALDERGROVE, UK","2020-02-22","4.5"
"UKM00003917","ALDERGROVE, UK","2020-02-23","4.6"
"UKM00003917","ALDERGROVE, UK","2020-02-24","3.4"
"UKM00003917","ALDERGROVE, UK","2020-02-25","2.7"
"UKM00003917","ALDERGROVE, UK","2020-02-26","2.8"
"UKM00003917","ALDERGROVE, UK","2020-02-27","2.8"
"UKM00003917","ALDERGROVE, UK","2020-02-28","6.6"
"UKM00003917","ALDERGROVE, UK","2020-02-29","4.4"
"UKM00003917","ALDERGROVE, UK","2020-03-01","3.8"
"UKM00003917","ALDERGROVE, UK","2020-03-02","2.4"
"UKM00003917","ALDERGROVE, UK","2020-03-03","4.4"
"UKM00003917","ALDERGROVE, UK","2020-03-04","3.2"
"UKM00003917","ALDERGROVE, UK","2020-03-05","2.6"
"UKM00003917","ALDERGROVE, UK","2020-03-06","4.3"
"UKM00003917","ALDERGROVE, UK","2020-03-07","9.4"
"UKM00003917","ALDERGROVE, UK","2020-03-08","6.4"
"UKM00003917","ALDERGROVE, UK","2020-03-09","6.8"
"UKM00003917","ALDERGROVE, UK","2020-03-10","8.2"
"UKM00003917","ALDERGROVE, UK","2020-03-11","5.4"
"UKM00003917","ALDERGROVE, UK","2020-03-12","3.9"
"UKM00003917","ALDERGROVE, UK","2020-03-13","5.1"
"UKM00003917","ALDERGROVE, UK","2020-03-14","7.4"
"UKM00003917","ALDERGROVE, UK","2020-03-15","6.3"
"UKM00003917","ALDERGROVE, UK","2020-03-16","5.4"
"UKM00003917","ALDERGROVE, UK","2020-03-17","7.3"
"UKM00003917","ALDERGROVE, UK","2020-03-18","4.8"
"UKM00003917","ALDERGROVE, UK","2020-03-19","3.3"
"UKM00003917","ALDERGROVE, UK","2020-03-20","2.7"
"UKM00003917","ALDERGROVE, UK","2020-03-21","5.5"
"UKM00003917","ALDERGROVE, UK","2020-03-22","5.8"
"UKM00003917","ALDERGROVE, UK","2020-03-23","7.7"
"UKM00003917","ALDERGROVE, UK","2020-03-24","10.1"
"UKM00003917","ALDERGROVE, UK","2020-03-25","9.1"
"UKM00003917","ALDERGROVE, UK","2020-03-26","8.3"
"UKM00003917","ALDERGROVE, UK","2020-03-27","6.7"
"UKM00003917","ALDERGROVE, UK","2020-03-28","6.7"
"UKM00003917","ALDERGROVE, UK","2020-03-29","3.8"
"UKM00003917","ALDERGROVE, UK","2020-03-30","6.4"
"UKM00003917","ALDERGROVE, UK","2020-03-31","4.6"
"UKM00003917","ALDERGROVE, UK","2020-04-01","7.0"
"UKM00003917","ALDERGROVE, UK","2020-04-02","7.7"
"UKM00003917","ALDERGROVE, UK","2020-04-03","6.7"
"UKM00003917","ALDERGROVE, UK","2020-04-04","8.2"
"UKM00003917","ALDERGROVE, UK","2020-04-05","11.2"
"UKM00003917","ALDERGROVE, UK","2020-04-06","9.2"
"UKM00003917","ALDERGROVE, UK","2020-04-07","8.8"
"UKM00003917","ALDERGROVE, UK","2020-04-08","11.2"
"UKM00003917","ALDERGROVE, UK","2020-04-09","11.6"
"UKM00003917","ALDERGROVE, UK","2020-04-10","12.9"
"UKM00003917","ALDERGROVE, UK","2020-04-11","13.6"
"UKM00003917","ALDERGROVE, UK","2020-04-12","9.6"
"UKM00003917","ALDERGROVE, UK","2020-04-13","5.2"
"UKM00003917","ALDERGROVE, UK","2020-04-14","6.6"
"UKM00003917","ALDERGROVE, UK","2020-04-15","6.8"
